,Date,State,District,Active,Population_2020,Batch_no
351,2021-01-14,Odisha,Bhadrak,40,1717224,3
352,2021-01-14,Odisha,Boudh,11,502925,3
353,2021-01-14,Odisha,Cuttack,105,2991896,2
354,2021-01-14,Odisha,Deogarh,16,356273,3
355,2021-01-14,Odisha,Dhenkanal,7,1359805,3
356,2021-01-14,Odisha,Gajapati,55,658711,3
357,2021-01-14,Odisha,Ganjam,13,4023095,2
358,2021-01-14,Odisha,Jagatsinghpur,24,1296147,3
359,2021-01-14,Odisha,Jajpur,86,2082999,2
360,2021-01-14,Odisha,Jharsuguda,126,660636,1
361,2021-01-14,Odisha,Kalahandi,26,1797631,3
362,2021-01-14,Odisha,Kandhamal,11,835745,3
363,2021-01-14,Odisha,Kendrapara,34,1642012,3
364,2021-01-14,Odisha,Kendujhar,54,2053976,2
365,2021-01-14,Odisha,Khordha,107,2566907,2
366,2021-01-14,Odisha,Koraput,39,1572798,3
367,2021-01-14,Odisha,Malkangiri,19,699039,3
368,2021-01-14,Odisha,Mayurbhanj,35,2872501,2
369,2021-01-14,Odisha,Nabarangapur,2,1391878,3
370,2021-01-14,Odisha,Nayagarh,16,1097579,3
371,2021-01-14,Odisha,Nuapada,45,695835,3
372,2021-01-14,Odisha,Puri,87,1936552,2
373,2021-01-14,Odisha,Rayagada,34,1103419,3
374,2021-01-14,Odisha,Sambalpur,158,1186853,1
375,2021-01-14,Odisha,Subarnapur,31,695609,3
376,2021-01-14,Odisha,Sundargarh,258,2386518,1
377,2021-01-14,Punjab,Amritsar,120,2839348,1
378,2021-01-14,Punjab,Barnala,40,678901,2
379,2021-01-14,Punjab,Bathinda,127,1582919,2
380,2021-01-14,Punjab,Faridkot,56,703959,2
381,2021-01-14,Punjab,Fatehgarh Sahib,22,684186,2
382,2021-01-14,Punjab,Gurdaspur,85,2620088,1
383,2021-01-14,Punjab,Hoshiarpur,78,1808753,2
384,2021-01-14,Punjab,Jalandhar,272,2500693,1
385,2021-01-14,Punjab,Kapurthala,71,929292,2
386,2021-01-14,Punjab,Ludhiana,307,3988562,1
387,2021-01-14,Punjab,Mansa,55,877516,2
388,2021-01-14,Punjab,Moga,26,1135150,2
389,2021-01-14,Punjab,Patiala,231,2161082,1
