State,District,Population_2020
Meghalaya,West Garo Hills,733352
Meghalaya,East Garo Hills,362425
Meghalaya,South Garo Hills,162261
Meghalaya,West Khasi Hills,437146
Meghalaya,Ribhoi,295078
Meghalaya,East Khasi Hills,941551
Meghalaya,East Jaintia Hills ,3900000
Meghalaya,West Jaintia Hills,2700000
Mizoram,Mamit,98455
Mizoram,Kolasib,95709
Mizoram,Aizawl,456352
Mizoram,Champhai,143349
Mizoram,Serchhip,74028
Mizoram,Lunglei,184028
Mizoram,Lawngtlai,134399
Mizoram,Saiha,64494
Nagaland,Mon,285296
Nagaland,Mokokchung,221869
Nagaland,Zunheboto,160463
Nagaland,Wokha,189631
Nagaland,Dimapur,431845
Nagaland,Phek,186297
Nagaland,Tuensang,224119
Nagaland,Longleng,57552
Nagaland,Kiphire,84365
Nagaland,Kohima,305506
Nagaland,Peren,108550
Odisha,Bargarh,1688631
Odisha,Jharsuguda,660636
Odisha,Sambalpur,1186853
Odisha,Deogarh,356273
Odisha,Sundargarh,2386518
Odisha,Kendujhar,2053976
Odisha,Mayurbhanj,2872501
Odisha,Balasore,2645403
Odisha,Bhadrak,1717224
Odisha,Kendrapara,1642012
Odisha,Jagatsinghpur,1296147
Odisha,Cuttack,2991896
Odisha,Jajpur,2082999
Odisha,Dhenkanal,1359805
Odisha,Angul,1452156
Odisha,Nayagarh,1097579
Odisha,Khordha,2566907
Odisha,Puri,1936552
Odisha,Ganjam,4023095
Odisha,Gajapati,658711
Odisha,Kandhamal,835745
Odisha,Boudh,502925
Odisha,Subarnapur,695609
Odisha,Balangir,1879857
Odisha,Nuapada,695835
Odisha,Kalahandi,1797631
Odisha,Rayagada,1103419
Odisha,Nabarangapur,1391878
Odisha,Koraput,1572798
Odisha,Malkangiri,699039
Puducherry,Puducherry,1397707
Punjab,Gurdaspur,2620088
Punjab,Kapurthala,929292
Punjab,Jalandhar,2500693
Punjab,Hoshiarpur,1808753
Punjab,Shahid Bhagat Singh Nagar,698033
Punjab,Fatehgarh Sahib,684186
Punjab,Ludhiana,3988562
Punjab,Moga,1135150
Punjab,Firozepur,2313144
Punjab,Muktsar,1028161
Punjab,Faridkot,703959
